"Date","Hour","GMTHour","Facility","ScheduledDepartures","ScheduledArrivals","DeparturesFor.MetricComputation","ArrivalsFor.MetricComputation","X..On.TimeGateDepartures","X..On.TimeAirportDepartures","X..On.TimeGateArrivals","AverageGateDepartureDelay","AverageTaxiOutTime","AverageTaxiOutDelay","AverageAirportDepartureDelay","AverageAirborneDelay","AverageTaxiInDelay","AverageBlockDelay","AverageGateArrivalDelay"
"07/11/2011",0,4," ATL",0,4,1,6,0,0,83.33,123,20,7.1,130.1,0.5,-1.53,-6.83,-3.9
"07/11/2011",0,4," BDL",0,7,0,7,0,0,57.14,0,0,0,0,0.71,1.9,-9.57,26.43
"07/11/2011",0,4," BOS",0,9,0,9,0,0,55.56,0,0,0,0,-2.22,-0.34,-8.67,23.97
"07/11/2011",0,4," BUF",0,1,0,1,0,0,0,0,0,0,0,-12,4.5,11,28
"07/11/2011",0,4," BWI",0,3,0,4,0,0,100,0,0,0,0,-3,2.65,-5.5,-7.25
"07/11/2011",0,4," CLE",0,1,0,1,0,0,0,0,0,0,0,-4,4,17,15
"07/11/2011",0,4," CLT",0,3,1,3,100,100,33.33,-11,11,-0.6,-11.6,-6,2.87,-0.67,17
"07/11/2011",0,4," CVG",1,2,1,2,100,100,50,-16,12,-0.5,-16.5,-3,1.2,-4.5,13.65
"07/11/2011",0,4," DAY",0,2,0,2,0,0,100,0,0,0,0,-10,4.45,-2,3.55
"07/11/2011",0,4," DCA",0,1,0,1,0,0,100,0,0,0,0,-4,-0.1,-2,-4
"07/11/2011",0,4," DTW",0,6,0,6,0,0,66.67,0,0,0,0,-4.83,-3.05,-12.17,3.6
"07/11/2011",0,4," EWR",0,5,0,4,0,0,100,0,0,0,0,1.5,2.58,-6,-6.25
"07/11/2011",0,4," FLL",0,6,0,6,0,0,100,0,0,0,0,-5.83,-0.03,-6.83,-2.33
"07/11/2011",0,4," HPN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/11/2011",0,4," IAD",0,6,0,4,0,0,75,0,0,0,0,-0.25,2.2,-0.5,10.75
"07/11/2011",0,4," IND",0,4,0,4,0,0,75,0,0,0,0,-2.5,-0.8,-9,11.28
"07/11/2011",0,4," JAX",0,1,0,1,0,0,100,0,0,0,0,-2,-0.3,-4,-6
"07/11/2011",0,4," JFK",3,11,3,12,66.67,33.33,66.67,13,25,6.3,19.3,-0.92,-0.82,-0.67,22.63
"07/11/2011",0,4," LGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/11/2011",0,4," MCO",0,10,0,10,0,0,70,0,0,0,0,-3.7,-1.61,-9.8,8.7
"07/11/2011",0,4," MHT",0,3,0,4,0,0,100,0,0,0,0,0.75,0.9,-11,-5.72
"07/11/2011",0,4," MIA",0,2,0,3,0,0,66.67,0,0,0,0,-1.67,-0.1,-4.67,16.77
"07/11/2011",0,4," PBI",0,1,0,2,0,0,50,0,0,0,0,-1,0.5,-13.5,19
"07/11/2011",0,4," PHL",0,7,0,6,0,0,83.33,0,0,0,0,-2.83,3.87,-5.83,7
"07/11/2011",0,4," PIT",0,2,0,2,0,0,100,0,0,0,0,-2,1.35,3,1
"07/11/2011",0,4," PVD",0,1,0,1,0,0,100,0,0,0,0,-5,2.2,-23,14
"07/11/2011",0,4," RDU",0,7,0,7,0,0,57.14,0,0,0,0,-1.29,1.13,-3.14,11.49
"07/11/2011",0,4," SDF",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/11/2011",0,4," SJU",0,2,0,3,0,0,100,0,0,0,0,-3.67,0.2,-18,-25.27
"07/11/2011",0,4," SWF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/11/2011",0,4," TEB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/11/2011",0,4," TPA",0,7,0,7,0,0,100,0,0,0,0,-6,-0.17,-8.71,-3.29
"07/11/2011",0,5," AUS",0,2,0,2,0,0,100,0,0,0,0,-1.5,-0.1,-6,-4.5
"07/11/2011",0,5," BHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/11/2011",0,5," BNA",0,1,0,1,0,0,0,0,0,0,0,0,0.4,-9,31
"07/11/2011",0,5," DAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07/11/2011",0,5," DFW",0,4,1,6,0,0,66.67,15,14,2.5,17.5,-3.67,2.25,-2.83,17.4
"07/11/2011",0,5," HOU",0,2,0,2,0,0,100,0,0,0,0,-8,0.6,-11.5,-10
