
TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,FullMetar,WindDirDegrees,DateUTC<br />
12:51 AM,78.8,73.4,83,29.86,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,METAR KEWR 140451Z 00000KT 10SM FEW045 BKN130 26/23 A2986,0,2010-07-14 04:51:00<br />
1:51 AM,77.0,73.0,88,29.86,8.0,Calm,Calm,-,N/A,,Mostly Cloudy,METAR KEWR 140551Z 00000KT 8SM SCT008 SCT045 BKN110 25/23 A2986 RMK AO2 SLP111 60001 T02500228 10272 20250 55001,0,2010-07-14 05:51:00<br />
2:51 AM,77.0,73.9,90,29.85,8.0,Calm,Calm,-,0.00,Rain,Light Rain,METAR KEWR 140651Z 00000KT 8SM -RA FEW008 SCT045 BKN110 25/23 A2985 RMK AO2 RAB34 SLP108 P0000 T02500233,0,2010-07-14 06:51:00<br />
3:51 AM,77.0,73.9,90,29.85,9.0,Calm,Calm,-,0.00,,Mostly Cloudy,METAR KEWR 140751Z 00000KT 9SM SCT009 BKN110 25/23 A2985 RMK AO2 RAE24 SLP108 P0000 T02500233,0,2010-07-14 07:51:00<br />
3:58 AM,77.0,73.4,89,29.85,7.0,Calm,Calm,-,N/A,,Overcast,SPECI KEWR 140758Z 00000KT 7SM OVC011 25/23 A2985 RMK AO2 CIG 008V013,0,2010-07-14 07:58:00<br />
4:10 AM,77.0,73.4,89,29.85,6.0,Calm,Calm,-,N/A,,Overcast,SPECI KEWR 140810Z 00000KT 6SM BR OVC008 25/23 A2985 RMK AO2 CIG 007V012,0,2010-07-14 08:10:00<br />
4:51 AM,77.0,73.9,90,29.86,6.0,WSW,3.5,-,N/A,,Overcast,METAR KEWR 140851Z 25003KT 6SM BR BKN008 BKN060 OVC110 25/23 A2985 RMK AO2 SLP109 60000 T02500233 55002,250,2010-07-14 08:51:00<br />
5:51 AM,77.0,73.9,90,29.86,6.0,SW,4.6,-,0.00,Rain,Light Rain,METAR KEWR 140951Z 23004KT 6SM -RA BR BKN009 BKN060 OVC110 25/23 A2986 RMK AO2 RAB34 SLP112 P0000 T02500233,230,2010-07-14 09:51:00<br />
6:51 AM,77.0,73.0,88,29.87,8.0,Calm,Calm,-,0.04,Rain,Light Rain,METAR KEWR 141051Z 00000KT 8SM -RA BKN009 BKN015 OVC090 25/23 A2987 RMK AO2 SLP113 P0004 T02500228,0,2010-07-14 10:51:00<br />
7:06 AM,77.0,73.4,89,29.87,6.0,NE,4.6,-,0.01,Rain,Light Rain,SPECI KEWR 141106Z 05004KT 6SM -RA BR BKN010 BKN015 OVC080 25/23 A2987 RMK AO2 P0001,50,2010-07-14 11:06:00<br />
