
TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,FullMetar,WindDirDegrees,DateUTC<br />
12:51 AM,25.0,16.0,69,30.11,10.0,West,4.6,-,N/A,,Clear,METAR KEWR 090551Z 28004KT 10SM CLR M04/M09 A3011 RMK AO2 SLP196 T10391089 11011 21039 53009,280,2010-12-09 05:51:00<br />
1:51 AM,23.0,15.1,72,30.13,10.0,WSW,5.8,-,N/A,,Clear,METAR KEWR 090651Z 24005KT 10SM CLR M05/M09 A3013 RMK AO2 SLP203 T10501094,240,2010-12-09 06:51:00<br />
2:51 AM,26.1,18.0,71,30.14,10.0,West,6.9,-,N/A,,Overcast,METAR KEWR 090751Z 26006KT 10SM BKN041 OVC055 M03/M08 A3014 RMK AO2 SLP206 T10331078,260,2010-12-09 07:51:00<br />
3:51 AM,25.0,18.0,75,30.15,10.0,West,8.1,-,0.00,,Mostly Cloudy,METAR KEWR 090851Z 28007KT 10SM BKN041 M04/M08 A3016 RMK AO2 SNB22E31 SLP210 P0000 60000 T10391078 51014,280,2010-12-09 08:51:00<br />
4:51 AM,24.1,17.1,75,30.17,10.0,West,9.2,-,N/A,,Partly Cloudy,METAR KEWR 090951Z COR 27008KT 10SM FEW041 M04/M08 A3017 RMK AO2 SLP214 T10441083,270,2010-12-09 09:51:00<br />
5:51 AM,24.1,14.0,65,30.18,10.0,West,6.9,-,N/A,,Partly Cloudy,METAR KEWR 091051Z 26006KT 10SM FEW041 M04/M10 A3019 RMK AO2 SLP220 T10441100,260,2010-12-09 10:51:00<br />
6:51 AM,23.0,12.9,65,30.21,10.0,WSW,6.9,-,N/A,,Partly Cloudy,METAR KEWR 091151Z 25006KT 10SM FEW041 M05/M11 A3021 RMK AO2 SLP228 60000 T10501106 11028 21050 53018,250,2010-12-09 11:51:00<br />
7:51 AM,24.1,12.9,62,30.23,10.0,WSW,6.9,-,N/A,,Partly Cloudy,METAR KEWR 091251Z 25006KT 10SM FEW040 M04/M11 A3023 RMK AO2 SLP236 T10441106,250,2010-12-09 12:51:00<br />
8:51 AM,26.1,10.9,53,30.25,10.0,West,16.1,19.6,N/A,,Partly Cloudy,METAR KEWR 091351Z 28014G17KT 10SM FEW040 M03/M12 A3025 RMK AO2 SLP242 T10331117,280,2010-12-09 13:51:00<br />
9:51 AM,28.0,7.0,41,30.26,10.0,WNW,15.0,23.0,N/A,,Partly Cloudy,METAR KEWR 091451Z 30013G20KT 10SM FEW040 M02/M14 A3026 RMK AO2 SLP245 T10221139 51017,300,2010-12-09 14:51:00<br />
