
TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,FullMetar,WindDirDegrees,DateUTC<br />
12:51 AM,45.0,21.0,39,30.32,10.0,NNW,20.7,-,N/A,,Scattered Clouds,METAR KJFK 210451Z 34018KT 10SM FEW075 SCT250 07/M06 A3032 RMK AO2 PK WND 35026/0417 SLP267 T00721061 401500072 $,340,2013-04-21 04:51:00<br />
1:51 AM,42.1,19.0,40,30.36,10.0,NNW,18.4,24.2,N/A,,Partly Cloudy,METAR KJFK 210551Z 33016G21KT 10SM FEW250 06/M07 A3036 RMK AO2 PK WND 32028/0456 SLP279 T00561072 10128 20056 53038 $,330,2013-04-21 05:51:00<br />
2:51 AM,41.0,15.1,35,30.38,10.0,NNW,19.6,-,N/A,,Clear,METAR KJFK 210651Z 33017KT 10SM CLR 05/M09 A3038 RMK AO2 PK WND 34028/0618 SLP286 T00501094 $,330,2013-04-21 06:51:00<br />
3:51 AM,39.0,16.0,39,30.40,10.0,NNW,20.7,-,N/A,,Clear,METAR KJFK 210751Z 33018KT 10SM CLR 04/M09 A3040 RMK AO2 SLP293 T00391089 $,330,2013-04-21 07:51:00<br />
4:51 AM,39.0,17.1,41,30.43,10.0,NNW,20.7,31.1,N/A,,Clear,METAR KJFK 210851Z 34018G27KT 10SM CLR 04/M08 A3043 RMK AO2 PK WND 33027/0844 SLP302 T00391083 53023 $,340,2013-04-21 08:51:00<br />
5:51 AM,37.9,18.0,45,30.46,10.0,NNW,15.0,-,N/A,,Partly Cloudy,METAR KJFK 210951Z 34013KT 10SM FEW250 03/M08 A3046 RMK AO2 SLP313 T00331078 $,340,2013-04-21 09:51:00<br />
6:51 AM,37.9,19.0,47,30.50,10.0,NNW,10.4,-,N/A,,Scattered Clouds,METAR KJFK 211051Z 34009KT 10SM FEW050 SCT250 03/M07 A3050 RMK AO2 SLP327 T00331072 $,340,2013-04-21 10:51:00<br />
7:51 AM,39.9,19.9,45,30.53,10.0,North,11.5,-,N/A,,Scattered Clouds,METAR KJFK 211151Z 35010KT 10SM FEW200 SCT250 04/M07 A3053 RMK AO2 SLP339 T00441067 10056 20028 53036 $,350,2013-04-21 11:51:00<br />
8:51 AM,42.1,19.0,40,30.55,10.0,North,11.5,-,N/A,,Scattered Clouds,METAR KJFK 211251Z 35010KT 10SM FEW050 SCT250 06/M07 A3055 RMK AO2 SLP345 T00561072 $,350,2013-04-21 12:51:00<br />
9:51 AM,44.1,21.0,40,30.57,10.0,North,10.4,-,N/A,,Scattered Clouds,METAR KJFK 211351Z 35009KT 10SM FEW050 SCT250 07/M06 A3057 RMK AO2 SLP352 T00671061 $,350,2013-04-21 13:51:00<br />
10:51 AM,46.0,19.9,35,30.59,10.0,NNW,11.5,19.6,N/A,,Scattered Clouds,METAR KJFK 211451Z 34010G17KT 10SM FEW050 SCT250 08/M07 A3059 RMK AO2 SLP358 T00781067 51019 $,340,2013-04-21 14:51:00<br />
11:51 AM,48.0,19.0,32,30.59,10.0,North,12.7,17.3,N/A,,Scattered Clouds,METAR KJFK 211551Z 36011G15KT 10SM FEW050 SCT250 09/M07 A3059 RMK AO2 SLP359 T00891072 $,360,2013-04-21 15:51:00<br />
12:51 PM,48.9,19.0,31,30.58,10.0,North,10.4,19.6,N/A,,Scattered Clouds,METAR KJFK 211651Z 35009G17KT 320V020 10SM FEW050 SCT250 09/M07 A3058 RMK AO2 SLP355 T00941072 $,350,2013-04-21 16:51:00<br />
1:51 PM,50.0,19.0,29,30.58,10.0,North,5.8,18.4,N/A,,Scattered Clouds,METAR KJFK 211751Z 01005G16KT 10SM SCT250 10/M07 A3058 RMK AO2 SLP354 T01001072 10106 20044 58004 $,10,2013-04-21 17:51:00<br />
2:51 PM,53.1,19.9,27,30.57,10.0,Variable,4.6,-,N/A,,Scattered Clouds,METAR KJFK 211851Z VRB04KT 10SM SCT260 12/M07 A3057 RMK AO2 SLP351 T01171067 $,0,2013-04-21 18:51:00<br />
3:51 PM,52.0,15.1,23,30.55,10.0,Variable,5.8,-,N/A,,Scattered Clouds,METAR KJFK 211951Z VRB05KT 10SM SCT260 11/M09 A3055 RMK AO2 SLP345 T01111094 $,0,2013-04-21 19:51:00<br />
4:51 PM,48.9,27.0,43,30.56,10.0,SSW,15.0,-,N/A,,Mostly Cloudy,METAR KJFK 212051Z 20013KT 10SM FEW210 BKN270 09/M03 A3056 RMK AO2 WSHFT 2030 SLP348 T00941028 56002 $,200,2013-04-21 20:51:00<br />
5:51 PM,46.9,26.1,44,30.58,10.0,South,10.4,-,N/A,,Mostly Cloudy,METAR KJFK 212151Z 19009KT 10SM FEW210 BKN270 08/M03 A3058 RMK AO2 SLP353 T00831033 $,190,2013-04-21 21:51:00<br />
6:51 PM,46.0,27.0,47,30.59,10.0,South,8.1,-,N/A,,Mostly Cloudy,METAR KJFK 212251Z 17007KT 10SM SCT210 BKN270 08/M03 A3059 RMK AO2 SLP357 T00781028 $,170,2013-04-21 22:51:00<br />
7:51 PM,45.0,27.0,49,30.60,10.0,SSE,4.6,-,N/A,,Mostly Cloudy,METAR KJFK 212351Z 15004KT 10SM FEW210 BKN260 07/M03 A3060 RMK AO2 SLP361 T00721028 10122 20067 51013 $,150,2013-04-21 23:51:00<br />
8:51 PM,45.0,28.9,53,30.62,10.0,SSE,4.6,-,N/A,,Mostly Cloudy,METAR KJFK 220051Z 15004KT 10SM BKN240 07/M02 A3062 RMK AO2 SLP368 T00721017 $,150,2013-04-22 00:51:00<br />
