
TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,FullMetar,WindDirDegrees,DateUTC<br />
12:51 AM,60.1,55.9,86,30.06,10.0,SSW,16.1,-,N/A,,Overcast,METAR KJFK 070551Z 21014KT 10SM BKN031 OVC085 16/13 A3006 RMK AO2 SLP180 T01560133 10156 20133 56028,210,2013-11-07 05:51:00<br />
1:02 AM,59.0,55.4,88,30.06,10.0,SSW,13.8,-,N/A,,Overcast,SPECI KJFK 070602Z 20012KT 10SM BKN029 OVC085 15/13 A3006 RMK AO2,200,2013-11-07 06:02:00<br />
1:27 AM,59.0,55.4,88,30.05,10.0,SSW,13.8,-,N/A,,Overcast,SPECI KJFK 070627Z 21012KT 10SM BKN014 OVC028 15/13 A3005 RMK AO2,210,2013-11-07 06:27:00<br />
1:51 AM,60.1,55.9,86,30.04,10.0,SSW,13.8,-,N/A,,Overcast,METAR KJFK 070651Z 20012KT 10SM OVC012 16/13 A3003 RMK AO2 SLP170 T01560133,200,2013-11-07 06:51:00<br />
2:04 AM,59.0,55.4,88,30.03,10.0,SSW,11.5,-,N/A,,Overcast,SPECI KJFK 070704Z 20010KT 10SM OVC008 15/13 A3003 RMK AO2,200,2013-11-07 07:04:00<br />
2:40 AM,59.0,55.4,88,30.01,10.0,SSW,9.2,-,N/A,,Overcast,SPECI KJFK 070740Z 20008KT 10SM OVC011 15/13 A3001 RMK AO2,200,2013-11-07 07:40:00<br />
2:51 AM,59.0,57.0,93,30.00,10.0,South,9.2,-,N/A,,Overcast,METAR KJFK 070751Z 19008KT 10SM OVC011 15/14 A3000 RMK AO2 SLP159 T01500139,190,2013-11-07 07:51:00<br />
3:51 AM,59.0,57.0,93,29.97,8.0,SSW,6.9,-,N/A,,Overcast,METAR KJFK 070851Z 21006KT 8SM FEW006 OVC011 15/14 A2997 RMK AO2 SLP149 T01500139 57031,210,2013-11-07 08:51:00<br />
4:51 AM,59.0,57.0,93,29.94,8.0,South,8.1,-,N/A,,Overcast,METAR KJFK 070951Z 19007KT 8SM OVC014 15/14 A2993 RMK AO2 SLP136 T01500139,190,2013-11-07 09:51:00<br />
5:51 AM,59.0,57.0,93,29.91,10.0,SSW,8.1,-,N/A,,Overcast,METAR KJFK 071051Z 21007KT 10SM OVC015 15/14 A2991 RMK AO2 SLP128 T01500139,210,2013-11-07 10:51:00<br />
6:51 AM,59.0,57.0,93,29.89,10.0,South,10.4,-,N/A,,Overcast,METAR KJFK 071151Z 19009KT 10SM FEW006 BKN018 OVC090 15/14 A2989 RMK AO2 SLP120 T01500139 10156 20150 56029,190,2013-11-07 11:51:00<br />
7:23 AM,60.8,57.2,88,29.89,10.0,SSW,9.2,-,N/A,,Mostly Cloudy,SPECI KJFK 071223Z 20008KT 10SM FEW006 SCT018 BKN095 BKN170 16/14 A2989 RMK AO2,200,2013-11-07 12:23:00<br />
